No.,Year,Month,num_hiv
1,2003,Jan,0
2,2003,Feb,1
3,2003,Mar,1
4,2003,Apr,0
5,2003,May,0
6,2003,Jun,0
7,2003,Jul,0
8,2003,Aug,1
9,2003,Sep,0
10,2003,Oct,0
11,2003,Nov,0
12,2003,Dec,0
13,2004,Jan,0
14,2004,Feb,0
15,2004,Mar,0
16,2004,Apr,0
17,2004,May,1
18,2004,Jun,1
19,2004,Jul,0
20,2004,Aug,0
21,2004,Sep,0
22,2004,Oct,0
23,2004,Nov,0
24,2004,Dec,0
25,2005,Jan,2
26,2005,Feb,0
27,2005,Mar,1
28,2005,Apr,0
29,2005,May,1
30,2005,Jun,0
31,2005,Jul,0
32,2005,Aug,0
33,2005,Sep,1
34,2005,Oct,1
35,2005,Nov,0
36,2005,Dec,0
37,2006,Jan,0
38,2006,Feb,0
39,2006,Mar,0
40,2006,Apr,1
41,2006,May,0
42,2006,Jun,0
43,2006,Jul,1
44,2006,Aug,0
45,2006,Sep,0
46,2006,Oct,1
47,2006,Nov,0
48,2006,Dec,0
49,2007,Jan,1
50,2007,Feb,0
51,2007,Mar,0
52,2007,Apr,1
53,2007,May,1
54,2007,Jun,2
55,2007,Jul,3
56,2007,Aug,0
57,2007,Sep,1
58,2007,Oct,0
59,2007,Nov,2
60,2007,Dec,1
61,2008,Jan,1
62,2008,Feb,3
63,2008,Mar,2
64,2008,Apr,2
65,2008,May,5
66,2008,Jun,1
67,2008,Jul,3
68,2008,Aug,3
69,2008,Sep,2
70,2008,Oct,4
71,2008,Nov,1
72,2008,Dec,3
73,2009,Jan,3
74,2009,Feb,3
75,2009,Mar,2
76,2009,Apr,3
77,2009,May,9
78,2009,Jun,2
79,2009,Jul,5
80,2009,Aug,5
81,2009,Sep,6
82,2009,Oct,2
83,2009,Nov,3
84,2009,Dec,7
85,2010,Jan,6
86,2010,Feb,3
87,2010,Mar,3
88,2010,Apr,11
89,2010,May,9
90,2010,Jun,14
91,2010,Jul,5
92,2010,Aug,6
93,2010,Sep,11
94,2010,Oct,14
95,2010,Nov,12
96,2010,Dec,10
97,2011,Jan,15
98,2011,Feb,14
99,2011,Mar,15
100,2011,Apr,5
101,2011,May,5
102,2011,Jun,11
103,2011,Jul,13
104,2011,Aug,13
105,2011,Sep,12
106,2011,Oct,13
107,2011,Nov,18
108,2011,Dec,22
109,2012,Jan,15
110,2012,Feb,25
111,2012,Mar,18
112,2012,Apr,9
113,2012,May,22
114,2012,Jun,17
115,2012,Jul,16
116,2012,Aug,15
117,2012,Sep,14
118,2012,Oct,25
119,2012,Nov,21
120,2012,Dec,26
121,2013,Jan,28
122,2013,Feb,16
123,2013,Mar,18
124,2013,Apr,29
125,2013,May,42
126,2013,Jun,22
127,2013,Jul,30
128,2013,Aug,27
129,2013,Sep,20
130,2013,Oct,34
131,2013,Nov,36
132,2013,Dec,13
133,2014,Jan,30
134,2014,Feb,39
135,2014,Mar,20
136,2014,Apr,21
137,2014,May,35
138,2014,Jun,34
139,2014,Jul,36
140,2014,Aug,33
141,2014,Sep,42
142,2014,Oct,40
143,2014,Nov,34
144,2014,Dec,33
145,2015,Jan,33
146,2015,Feb,28
147,2015,Mar,32
148,2015,Apr,37
149,2015,May,46
150,2015,Jun,59
151,2015,Jul,28
152,2015,Aug,28
153,2015,Sep,38
154,2015,Oct,31
155,2015,Nov,25
156,2015,Dec,54
157,2016,Jan,35
158,2016,Feb,57
159,2016,Mar,64
160,2016,Apr,43
161,2016,May,46
162,2016,Jun,46
163,2016,Jul,37
164,2016,Aug,41
165,2016,Sep,47
166,2016,Oct,52
167,2016,Nov,47
168,2016,Dec,46
169,2017,Jan,49
170,2017,Feb,52
171,2017,Mar,52
172,2017,Apr,23
173,2017,May,59
174,2017,Jun,41
175,2017,Jul,39
176,2017,Aug,74
177,2017,Sep,55
178,2017,Oct,47
179,2017,Nov,55
180,2017,Dec,41
181,2018,Jan,57
182,2018,Feb,38
183,2018,Mar,42
184,2018,Apr,50
185,2018,May,45
186,2018,Jun,45
187,2018,Jul,57
188,2018,Aug,52
189,2018,Sep,58
190,2018,Oct,50
191,2018,Nov,38
192,2018,Dec,25
193,2019,Jan,31
194,2019,Feb,35
195,2019,Mar,140
196,2019,Apr,39
197,2019,May,66
198,2019,Jun,52
199,2019,Jul,60
200,2019,Aug,49
201,2019,Sep,63
202,2019,Oct,32
203,2019,Nov,81
204,2019,Dec,38
205,2020,Jan,14
206,2020,Feb,72
207,2020,Mar,22
208,2020,Apr,42
209,2020,May,0
210,2020,Jun,1
211,2020,Jul,14
212,2020,Aug,0
213,2020,Sep,114
214,2020,Oct,15
215,2020,Nov,12
216,2020,Dec,24
217,2021,Jan,17
218,2021,Feb,31
219,2021,Mar,183
220,2021,Apr,91
221,2021,May,42
222,2021,Jun,70
223,2021,Jul,56
224,2021,Aug,43
225,2021,Sep,38
226,2021,Oct,49
227,2021,Nov,66
228,2021,Dec,44
229,2022,Jan,50
230,2022,Feb,42
231,2022,Mar,70
232,2022,Apr,52
233,2022,May,71
234,2022,Jun,86
235,2022,Jul,77
236,2022,Aug,80
237,2022,Sep,84
238,2022,Oct,68
239,2022,Nov,68
240,2022,Dec,88
